lost_id,true_match_id,top_1_match,top_1_correct,top_3_correct,top_5_correct
L001,F001,F001,True,True,True
L002,F002,F002,True,True,True
L003,F003,F003,True,True,True
L004,F004,F059,False,False,True
L005,F005,F005,True,True,True
L006,F006,F006,True,True,True
L007,F007,F007,True,True,True
L008,F008,F008,True,True,True
L009,F009,F009,True,True,True
L010,F010,F010,True,True,True
L011,F011,F011,True,True,True
L012,F012,F012,True,True,True
L013,F013,F013,True,True,True
L014,F014,F017,False,True,True
L015,F015,F106,False,True,True
L016,F016,F016,True,True,True
L017,F017,F017,True,True,True
L018,F018,F018,True,True,True
L019,F019,F019,True,True,True
L020,F020,F059,False,False,True
L021,F021,F021,True,True,True
L022,F022,F022,True,True,True
L023,F023,F023,True,True,True
L024,F024,F024,True,True,True
L025,F025,F025,True,True,True
L026,F026,F026,True,True,True
L027,F027,F027,True,True,True
L028,F028,F050,False,True,True
L029,F029,F029,True,True,True
L030,F030,F030,True,True,True
L031,F031,F049,False,False,False
L032,F032,F017,False,False,False
L033,F033,F033,True,True,True
L034,F034,F034,True,True,True
L035,F035,F001,False,True,True
L036,F036,F036,True,True,True
L037,F037,F037,True,True,True
L038,F038,F059,False,False,False
L039,F039,F039,True,True,True
L040,F040,F040,True,True,True
L041,F041,F041,True,True,True
L042,F042,F042,True,True,True
L043,F043,F043,True,True,True
L044,F044,F094,False,False,False
L045,F045,F059,False,False,False
L046,F046,F001,False,True,True
L047,F047,F047,True,True,True
L048,F048,F048,True,True,True
L049,F049,F106,False,False,True
L050,F050,F050,True,True,True
