post_id,post_type,item_name,category,color,brand,description,location,date,contact_method,true_match_id,match_group
L001,lost,water bottle,bottle,black,Hydro Flask,Lost my black Hydro Flask water bottle near Union South. It has a small scratch.,Union South,2026-06-03,campus app message,F001,G001
L002,lost,laptop charger,electronics,white,Apple,Lost my white Apple laptop charger near Computer Sciences Building. It has a zipper pocket.,Computer Sciences Building,2026-03-12,campus app message,F002,G002
L003,lost,student ID,wallets_cards,red,Wiscard,Lost my red Wiscard student ID near College Library. It has a worn label.,College Library,2026-04-23,campus app message,F003,G003
L004,lost,wallet,wallets_cards,brown,Coach,Lost my brown Coach wallet near Memorial Union. It has course notes inside.,Memorial Union,2026-03-20,campus app message,F004,G004
L005,lost,umbrella,umbrellas,navy,Totes,Lost my navy Totes umbrella near Van Vleck Hall. It has a campus sticker.,Van Vleck Hall,2026-04-14,campus app message,F005,G005
L006,lost,airpods case,electronics,white,Apple,Lost white airpods case at Grainger Hall. It might be near the seating area. a sticker on it,Grainger Hall,2026-05-10,campus app message,F006,G006
L007,lost,notebook,books_notes,green,Moleskine,"Missing Moleskine notebook, green, last seen at Engineering Hall. Please message me if found.",Engineering Hall,2026-03-06,campus app message,F007,G007
L008,lost,backpack,bags,black,North Face,Lost my black North Face backpack near Nicholas Recreation Center. It has course notes inside.,Nicholas Recreation Center,2026-04-28,campus app message,F008,G008
L009,lost,keys,keys,silver,,"Missing keys, silver, last seen at Sellery Residence Hall. Please message me if found.",Sellery Residence Hall,2026-05-29,campus app message,F009,G009
L010,lost,sweatshirt,clothing,gray,Nike,Can’t find my gray Nike sweatshirt; last had it near SERF. a small scratch.,SERF,2026-04-18,campus app message,F010,G010
L011,lost,calculator,electronics,black,Texas Instruments,I think I left a black calculator around Van Vleck Hall after class. a zipper pocket.,Van Vleck Hall,2026-06-12,campus app message,F011,G011
L012,lost,ring,jewelry_accessories,gold,,I think I left a gold ring around Chazen Museum after class. a small scratch.,Chazen Museum,2026-04-20,campus app message,F012,G012
L013,lost,earrings,jewelry_accessories,silver,,I think I left a silver earrings around Bakke Recreation Center after class. a small dent.,Bakke Recreation Center,2026-05-08,campus app message,F013,G013
L014,lost,lunch box,miscellaneous,blue,Bentgo,Can’t find my blue Bentgo lunch box; last had it near Education Building. no visible name.,Education Building,2026-05-05,campus app message,F014,G014
L015,lost,textbook,books_notes,blue,Pearson,Lost my blue Pearson textbook near Memorial Library. It has a sticker on it.,Memorial Library,2026-05-16,campus app message,F015,G015
L016,lost,jacket,clothing,black,Columbia,Lost black jacket at Camp Randall. It might be near the seating area. a worn label,Camp Randall,2026-05-27,campus app message,F016,G016
L017,lost,phone,electronics,black,iPhone,"Missing iPhone phone, black, last seen at State Street. Please message me if found.",State Street,2026-03-21,campus app message,F017,G017
L018,lost,charger cable,electronics,white,Anker,Can’t find my white Anker charger cable; last had it near Helen C. White Library. course notes inside.,Helen C. White Library,2026-05-21,campus app message,F018,G018
L019,lost,glasses,miscellaneous,black,Ray-Ban,"Missing Ray-Ban glasses, black, last seen at Humanities Building. Please message me if found.",Humanities Building,2026-05-02,campus app message,F019,G019
L020,lost,tote bag,bags,cream,Trader Joe's,I think I left a cream tote bag around Memorial Union after class. course notes inside.,Memorial Union,2026-03-11,campus app message,F020,G020
L021,lost,water bottle,bottle,blue,Owala,Can’t find my blue Owala water bottle; last had it near Lakeshore Path. a small scratch.,Lakeshore Path,2026-05-10,campus app message,F021,G021
L022,lost,wallet,wallets_cards,black,,Lost black wallet at Kohl Center. It might be near the seating area. a worn label,Kohl Center,2026-04-21,campus app message,F022,G022
